2024-02-10 11:13:34,162 DEBUG   SystemMonitor:76289 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-02-10 11:13:34,165 DEBUG   SenderThread:76289 [sender.py:send():382] send: stats
2024-02-10 11:13:34,338 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:13:34,774 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:35,170 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:35,423 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:39,795 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:40,193 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:40,445 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:44,813 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:45,214 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:45,462 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:49,831 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:50,233 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:50,477 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:54,848 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:55,248 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:55,490 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:13:59,862 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:00,256 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:00,501 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:04,163 DEBUG   SenderThread:76289 [sender.py:send():382] send: stats
2024-02-10 11:14:04,873 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:05,508 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:06,169 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:09,890 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:10,519 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:11,183 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:14,913 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:15,532 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:16,194 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:19,932 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:20,549 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:21,208 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:24,949 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:25,561 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:26,228 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:29,966 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:30,584 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:31,280 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:34,159 DEBUG   SenderThread:76289 [sender.py:send():382] send: stats
2024-02-10 11:14:34,983 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:35,602 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:37,166 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:40,013 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:40,622 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:42,204 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:45,030 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
